time,latitude,longitude,heatwave_category,mask
UTC,degrees_north,degrees_east,1,1
2026-09-17T12:00:00Z,-24.975,145.025,NaN,1
2026-09-17T12:00:00Z,-24.975,145.075,NaN,1
2026-09-17T12:00:00Z,-24.975,145.125,NaN,1
2026-09-17T12:00:00Z,-24.975,145.175,NaN,1
2026-09-17T12:00:00Z,-24.975,145.225,NaN,1
2026-09-17T12:00:00Z,-24.975,145.275,NaN,1
2026-09-17T12:00:00Z,-24.975,145.325,NaN,1
2026-09-17T12:00:00Z,-24.975,145.375,NaN,1
2026-09-17T12:00:00Z,-24.975,145.425,NaN,1
2026-09-17T12:00:00Z,-24.975,145.475,NaN,1
2026-09-17T12:00:00Z,-24.975,145.525,NaN,1
2026-09-17T12:00:00Z,-24.975,145.575,NaN,1
2026-09-17T12:00:00Z,-24.975,145.625,NaN,1
2026-09-17T12:00:00Z,-24.975,145.675,NaN,1
2026-09-17T12:00:00Z,-24.975,145.725,NaN,1
2026-09-17T12:00:00Z,-24.975,145.775,NaN,1
2026-09-17T12:00:00Z,-24.975,145.825,NaN,1
2026-09-17T12:00:00Z,-24.975,145.875,NaN,1
2026-09-17T12:00:00Z,-24.975,145.925,NaN,1
2026-09-17T12:00:00Z,-24.975,145.975,NaN,1
2026-09-17T12:00:00Z,-24.975,146.025,NaN,1
2026-09-17T12:00:00Z,-24.975,146.075,NaN,1
2026-09-17T12:00:00Z,-24.975,146.125,NaN,1
2026-09-17T12:00:00Z,-24.975,146.175,NaN,1
2026-09-17T12:00:00Z,-24.975,146.225,NaN,1
2026-09-17T12:00:00Z,-24.975,146.275,NaN,1
2026-09-17T12:00:00Z,-24.975,146.325,NaN,1
2026-09-17T12:00:00Z,-24.975,146.375,NaN,1
2026-09-17T12:00:00Z,-24.975,146.425,NaN,1
2026-09-17T12:00:00Z,-24.975,146.475,NaN,1
2026-09-17T12:00:00Z,-24.975,146.525,NaN,1
2026-09-17T12:00:00Z,-24.975,146.575,NaN,1
2026-09-17T12:00:00Z,-24.975,146.625,NaN,1
2026-09-17T12:00:00Z,-24.975,146.675,NaN,1
2026-09-17T12:00:00Z,-24.975,146.725,NaN,1
2026-09-17T12:00:00Z,-24.975,146.775,NaN,1
2026-09-17T12:00:00Z,-24.975,146.825,NaN,1
2026-09-17T12:00:00Z,-24.975,146.875,NaN,1
2026-09-17T12:00:00Z,-24.975,146.925,NaN,1
2026-09-17T12:00:00Z,-24.975,146.975,NaN,1
2026-09-17T12:00:00Z,-24.975,147.025,NaN,1
2026-09-17T12:00:00Z,-24.975,147.075,NaN,1
2026-09-17T12:00:00Z,-24.975,147.125,NaN,1
2026-09-17T12:00:00Z,-24.975,147.175,NaN,1
2026-09-17T12:00:00Z,-24.975,147.225,NaN,1
2026-09-17T12:00:00Z,-24.975,147.275,NaN,1
2026-09-17T12:00:00Z,-24.975,147.325,NaN,1
2026-09-17T12:00:00Z,-24.975,147.375,NaN,1
2026-09-17T12:00:00Z,-24.975,147.425,NaN,1
2026-09-17T12:00:00Z,-24.975,147.475,NaN,1
2026-09-17T12:00:00Z,-24.975,147.525,NaN,1
2026-09-17T12:00:00Z,-24.975,147.575,NaN,1
2026-09-17T12:00:00Z,-24.975,147.625,NaN,1
2026-09-17T12:00:00Z,-24.975,147.675,NaN,1
2026-09-17T12:00:00Z,-24.975,147.725,NaN,1
2026-09-17T12:00:00Z,-24.975,147.775,NaN,1
2026-09-17T12:00:00Z,-24.975,147.825,NaN,1
2026-09-17T12:00:00Z,-24.975,147.875,NaN,1
2026-09-17T12:00:00Z,-24.975,147.925,NaN,1
2026-09-17T12:00:00Z,-24.975,147.975,NaN,1
2026-09-17T12:00:00Z,-24.975,148.025,NaN,1
2026-09-17T12:00:00Z,-24.975,148.075,NaN,1
2026-09-17T12:00:00Z,-24.975,148.125,NaN,1
2026-09-17T12:00:00Z,-24.975,148.175,NaN,1
2026-09-17T12:00:00Z,-24.975,148.225,NaN,1
2026-09-17T12:00:00Z,-24.975,148.275,NaN,1
2026-09-17T12:00:00Z,-24.975,148.325,NaN,1
2026-09-17T12:00:00Z,-24.975,148.375,NaN,1
2026-09-17T12:00:00Z,-24.975,148.425,NaN,1
2026-09-17T12:00:00Z,-24.975,148.475,NaN,1
2026-09-17T12:00:00Z,-24.975,148.525,NaN,1
2026-09-17T12:00:00Z,-24.975,148.575,NaN,1
2026-09-17T12:00:00Z,-24.975,148.625,NaN,1
2026-09-17T12:00:00Z,-24.975,148.675,NaN,1
2026-09-17T12:00:00Z,-24.975,148.725,NaN,1
2026-09-17T12:00:00Z,-24.975,148.775,NaN,1
2026-09-17T12:00:00Z,-24.975,148.825,NaN,1
2026-09-17T12:00:00Z,-24.975,148.875,NaN,1
